Post_ID,Post_Type,Likes,Shares,Comments,Views,Post_Date
83062041-8eda-473b-a1e9-f7cfe9179e88,static_image,530,124,91,1788,2024-06-10
51e272e7-44c4-42df-b051-67b48d576a7f,video,1496,669,435,2536,2024-12-27
afdeaf07-e8f9-4e3e-8fd9-ecf0b8a2e247,static_image,429,115,106,779,2024-03-07
b46d651f-3f40-4945-a139-01aac8b34cb3,static_image,436,225,119,2363,2024-08-01
04a0e215-b87e-45aa-8539-d3e65bad7f16,video,1333,612,448,8760,2024-09-05
8ecdc621-8db8-4b18-bd7d-b2cc3cac51dd,reels,2154,553,687,14228,2024-01-20
e6044f6f-e0f6-400f-95fb-0f05933ba8d5,reels,4738,579,974,12118,2024-05-31
5ebef86e-51d9-4fbc-a80c-38fb914aeb74,carousel,624,320,102,2552,2024-03-26
d326c9b1-7aaf-4a77-a918-ebb48ec2b728,static_image,570,223,127,595,2024-07-15
e11b748c-22ff-4d74-b686-d900ca454758,video,727,579,471,5227,2024-05-16
db55c329-07c1-4b07-b603-7ec878e78d83,reels,1191,347,928,13976,2024-01-30
c3a6fd1d-56bc-4fee-9d43-f8822005ef0e,video,1911,438,762,8633,2024-08-02
5e1b98ec-bab1-47e4-aeec-188844a795ed,video,1491,497,308,6691,2024-10-14
c026a32a-e13d-4d59-8330-d40770ecb4ad,carousel,802,301,247,3825,2024-12-15
a27a4e8f-a6bf-472e-9e5c-3e21e7532f0c,reels,4100,764,613,6186,2024-06-21
7a951cb4-809d-46ec-adde-d31c654c1d60,static_image,503,105,79,1844,2024-05-17
6b73437a-d7f9-446a-8df8-c0647e596e64,carousel,666,299,284,1699,2024-02-08
7418564a-52fe-487e-a52f-14d590484a44,video,1568,344,667,3828,2024-11-26
42c680ae-fbc9-4841-86cb-0b1e099ab85c,video,1143,692,748,2293,2024-10-05
e35d34e3-825c-4cf2-8fb5-790116d2844e,video,1091,538,585,4182,2024-01-10
abe7a187-9a74-41f4-beb9-3635d17b6f4a,carousel,756,411,147,2137,2024-06-14
f3194a21-59da-48f0-b139-6dbe18050756,video,1309,472,375,2049,2024-06-17
ae0a7d84-0454-4acf-b005-791b58814acf,static_image,567,266,118,1920,2024-04-30
e9659832-1532-4bb6-b999-f7cd78a74fa4,carousel,740,266,137,4848,2024-06-22
5fb6e22c-e192-47b7-9f32-c9cef3f4bec8,video,1530,558,507,7947,2024-05-12
ce9f240b-7e6e-4400-8e04-96a92737da61,carousel,766,488,286,4406,2024-01-12
beb21b9c-b491-4cc5-bbcc-fa80e9b022e3,video,1981,267,348,4999,2024-08-09
5081a945-6973-4e66-87ba-1c37b4294f4e,static_image,632,236,60,1318,2024-09-16
8ff78ef9-8a06-480b-841d-b165d475b669,reels,4499,550,1297,12990,2024-07-08
b4508e3e-0d2f-4314-88c3-db334a955f09,reels,3290,648,685,8672,2024-02-28
a8bc8d13-1c0c-45b1-b0dc-05335225ce46,reels,3828,438,655,13439,2024-11-16
746b9376-2231-4682-8417-236475e07723,reels,3703,467,1209,8347,2024-11-14
ed0e0e75-bde1-4850-8647-c0dcbd50492e,reels,1704,661,716,14219,2024-04-05
d940af97-ee63-4704-83f3-2b781dfc7f1c,static_image,700,216,54,1164,2024-03-29
3bbcecdb-abf5-4ab4-8c73-11b511bce129,carousel,742,236,229,3401,2024-12-09
94beb305-d46a-4dea-9dfc-74ce88a68042,video,1274,467,385,3087,2024-03-15
c068be3c-a552-40bd-8356-292b8a4429dc,video,1554,226,717,6437,2024-09-09
ee51de2c-7c50-43d5-98ca-042b1cd0affd,carousel,942,283,179,2999,2024-03-24
8c8da45b-5269-429d-8926-2c274f964ffd,static_image,614,196,135,1352,2024-01-14
92a6317e-6033-4b6e-a981-abc1666aa306,reels,1553,797,1432,13857,2024-02-19
a2be4d66-e60d-4b83-8848-9ba879b166a5,static_image,408,240,85,2109,2024-04-05
99532ccb-ff0b-455d-ba30-bea913f0feb4,carousel,949,491,135,1256,2024-09-21
ddd072e6-d62f-4fd8-8e75-0a72f6583ae8,reels,1233,828,1397,9988,2024-11-14
d0d3c14e-a5fc-4654-b2ba-5277453b174d,carousel,522,204,234,4923,2024-08-02
b0b2bb70-4b68-4f07-8225-24c36cf286c5,static_image,581,239,85,2343,2024-02-27
62f921aa-c2cb-4f97-b843-19d6f5a838c3,reels,3452,638,1486,6650,2024-08-04
eb55363a-92c9-4920-a7c9-40df39cdf90c,reels,3500,744,1297,15871,2024-12-04
ec56df8a-585a-4461-86c8-07dbfaf4c829,video,1896,250,630,5457,2024-08-20
58a50fdd-3d66-4df8-9643-652a8b6997a5,reels,3637,916,524,14927,2024-01-05
04274e58-cffe-41ac-92c7-da8768e27543,static_image,635,116,57,2846,2024-02-10
38504cc9-eee3-4bc6-8068-943f09e7c23e,video,1566,380,423,9563,2024-10-26
873ae414-19a8-4821-a21e-b0874a7e2a70,reels,1936,512,735,13048,2024-08-31
acdd6b00-6d55-4036-913c-255b98b94b69,video,1181,436,383,7099,2024-02-18
13022a7c-9ffd-4b1b-8a17-24a477555ee7,static_image,685,212,77,1547,2024-09-28
0d8eea7a-c263-4d97-9165-420c2cd9f2bd,video,1533,664,765,9954,2024-09-25
894770aa-aeb7-462a-9bc4-48d4972b9f60,reels,3193,905,1370,7358,2024-11-12
6912f43c-7638-4cf1-8a85-d78501399db2,static_image,558,279,56,2929,2024-10-04
dbeb1bb9-4dc0-4549-8ee1-ef7c2338819a,static_image,471,130,68,1854,2024-09-14
09969e85-2b54-4dfa-906f-7d003c070609,carousel,594,205,185,2475,2024-12-11
a694cdc1-721f-4f86-b299-9933293b0b81,reels,1530,472,929,13749,2024-07-17
f9bcda0d-dbe3-406f-a35a-431427ab0279,static_image,682,252,69,2898,2024-06-17
a4114883-0826-4ddb-8f3b-dcfd89058de1,video,1534,267,785,9046,2024-05-06
da184aa8-d812-43d4-815a-20a752775010,static_image,357,300,78,2252,2024-03-15
b2261442-b0f8-4584-bcc8-3003a428b3a0,reels,4577,930,886,9145,2024-08-09
89ca76a6-c492-4fdd-bd55-161e69943c25,static_image,585,202,147,641,2024-07-04
2e59f831-d819-42fe-b3d8-1a25e4337d6f,static_image,468,185,122,2399,2024-12-04
c8a40f6f-e2ef-4dcb-83c6-52dd57746daf,carousel,770,412,191,2926,2024-10-24
3b227bc9-56b7-4713-ae70-471074c40ee9,reels,1003,763,796,15866,2024-02-21
6eb511f7-a697-4464-9ed2-aacc4fb36527,static_image,667,198,136,2912,2024-10-14
cb643f2f-1e91-4acd-aa33-3d2608e48217,reels,4516,317,857,14133,2024-06-01
23d3e585-529e-41c8-8ae6-8c5c6f5863a7,static_image,536,216,63,2259,2024-10-22
a6add156-ce3c-410b-b5a9-3d83482806da,static_image,564,208,133,1440,2024-05-12
2d9ea41f-66f3-4e4e-ac7e-91a8b920882d,video,1566,399,743,7180,2024-04-28
5ec8883c-c493-4861-a9c4-d3b5859d5149,video,1243,507,400,6843,2024-12-05
b930867a-4a3d-4d0f-822f-084ae4b11959,static_image,459,245,52,2033,2024-11-22
7cc11a32-036b-41b5-8230-331c8ca9b200,static_image,561,159,90,1819,2024-10-20
8af0bb5a-536d-4b1a-bce2-68c64013e1af,carousel,765,316,151,2236,2024-02-10
acd162c8-bc24-4a23-9e9d-240d444b483e,video,1893,385,316,7282,2024-12-24
6dbf1047-b9d1-4d89-9a0a-85eba0379b2c,carousel,601,300,124,4151,2024-09-08
02d331e8-40b0-48b8-bd60-7defa8ca9847,carousel,547,244,158,3337,2024-12-23
579490e5-63ad-4e96-bf51-1fa5362d40d7,video,1656,555,370,4018,2024-11-30
dc305b01-3091-4e39-959b-65d6f314d464,static_image,487,181,64,2523,2024-08-29
b4e29a3d-9fe2-4c83-bf13-c63d3be60d78,carousel,658,348,279,4506,2024-04-06
847ea318-5b4d-4c3c-a640-3da82e291ee8,carousel,904,417,300,2988,2024-09-28
eeadc376-b2e4-44f7-8ac4-9d9cecd67eb4,static_image,410,169,61,1874,2024-08-15
c2230982-e6ba-49b2-8a6b-24c2ffc313ed,video,1636,663,691,5962,2024-06-19
72702f3d-c3f4-42e3-9b6f-3ad622e3e1cd,static_image,397,253,57,1306,2024-03-11
483a82cf-8d4e-4ba2-8812-0e6988be4e2b,reels,1726,801,1115,7989,2024-08-15
03439ab4-82b7-4eed-bdcc-b8573a559be2,video,1351,272,662,3880,2024-03-21
84393113-4d9a-4a2a-80a5-ab4dbd39ba1e,reels,2449,376,597,9524,2024-02-28
015ea5af-429f-4979-b080-30b8258c49d2,reels,4435,934,527,5344,2024-01-28
415a1429-0cec-41a1-9a9f-1d5dc5cc8c24,carousel,945,323,277,1523,2024-12-28
f5114aa2-d7dc-4c58-afa3-58a018b347c3,video,1222,414,325,8119,2024-04-07
47abc5e2-6dff-4e73-9090-82be02396f21,carousel,766,455,247,4106,2024-09-22
2181ee99-1b17-4af5-ac80-2297a6a8b476,reels,4349,568,713,18605,2024-11-12
74f10edc-0684-4ffb-b5d2-d02498d67614,static_image,582,187,101,1427,2024-02-10
65420720-c92d-4e7c-8d4e-df9de44b55dd,carousel,961,324,151,3405,2024-11-09
500580f9-3226-4102-8710-78cbb885a067,video,1676,388,699,7203,2024-10-08
54979bc6-4409-48a8-a127-37c4e8892cb7,static_image,479,220,80,2389,2024-07-15
097bd4d0-d04c-416f-9113-a6dd7606cb19,reels,3056,809,978,12770,2024-12-09
6245d242-a62e-487d-9b75-c619bd6dc53d,carousel,825,280,266,3700,2024-03-19
7717bcb3-e8ec-470d-9ae4-5f3a153777dc,video,706,573,735,7266,2024-04-16
ac8853d3-a978-468e-bda2-33a197dcb160,reels,3767,581,1246,6226,2024-11-15
dfebca24-da4a-46d3-85e3-e6384c81cfad,reels,2092,486,1091,6212,2024-09-29
f7c5d32a-d54e-4d77-ad3f-62ec526769e6,static_image,537,160,78,1639,2024-06-27
65b8a0b2-bd30-47c1-bf99-060a46ec42d0,carousel,765,427,260,3029,2024-01-21
e97b3652-8cd7-41f1-a3a1-7af546d1d480,carousel,932,245,149,4313,2024-12-01
0498fad4-a2d3-4843-a4f3-f2d727172763,reels,1307,563,1462,8070,2024-02-04
7c5f4bc6-86fb-4cfb-ac39-3957e9cc9505,video,1875,230,339,9876,2024-03-17
a95912f0-6de5-4dfa-b8c0-29aad2c76ef4,video,1995,469,408,8191,2024-08-01
e82ee960-5e5a-40bc-8e10-f67b20acd42d,carousel,943,464,160,2759,2024-06-25
ac497e89-87b1-41ef-b721-e8291b3381ed,video,1417,678,790,8458,2024-12-18
4c2f6cad-b175-41d0-b4ad-ed455fbb1a62,reels,1876,838,1227,11481,2024-05-07
aadd1475-d1eb-461b-be81-e55beb2ae0ef,reels,4226,451,1264,11171,2024-07-18
d82e60f2-0905-4858-92fc-4a495988c3d1,reels,2179,846,634,17958,2024-05-08
c9fdba45-f59c-46ca-96b2-2154c566176e,carousel,926,370,151,4744,2024-05-16
be3d1237-6c97-4031-a7b6-0633baacacf7,carousel,501,219,223,3968,2024-11-14
7212ae67-da53-4f3a-bb62-9c9a89c25837,reels,3426,308,549,19433,2024-06-25
0f16612e-4c48-4902-94a7-f4d2a05239c4,static_image,636,179,140,922,2024-04-11
669082d1-0a1d-4e58-ba9d-dfee8387ed2b,video,1691,536,695,5095,2024-09-02
0d8ce2bc-69c7-4c5a-88c5-8319eb24b785,static_image,408,296,124,1072,2024-02-28
d559c764-6738-4e25-8a90-414b8953ad36,reels,3006,473,1347,11680,2024-04-04
29e7c044-5f12-4673-9954-2dd79bd9defa,reels,4751,485,1192,5855,2024-02-13
6a7927b8-85d4-40ce-8e07-aba2486e7f33,video,1666,631,365,7449,2024-02-08
68f54013-0dbb-4d0e-b9da-0694b349445c,video,1795,417,468,9147,2024-07-29
d7ce8381-b097-4e8e-86be-8dd14f48c148,carousel,783,358,221,1430,2024-07-05
5a34b3cf-a125-4f2e-97c2-7cabcbe7c981,static_image,469,184,61,1244,2024-01-06
c418ece2-8b90-4d92-be06-a5e14415d80a,carousel,963,236,124,1190,2024-12-10
1eb0899d-3c18-489f-a8e3-66b1f50843d0,reels,4874,848,558,18610,2024-07-01
ac78e887-61b5-4f21-a6b0-b6f0be5c3bd9,static_image,617,202,61,651,2024-05-17
dac6e8dc-1295-46ab-a443-3823a35907b5,reels,2933,707,809,12976,2024-05-02
9330d1f1-a416-4e3c-a3d0-8eadf579f6bd,static_image,421,244,57,1577,2024-02-10
3cc9594f-2133-4ba5-8c76-84fe52cad0e6,reels,4401,886,1068,18166,2024-08-13
77555b55-e4fa-4914-ae6d-05ee32550ab1,static_image,473,154,147,2800,2024-08-21
eb55d791-6bc5-48af-acd2-f53bd8e42ba3,reels,4664,973,1365,18257,2024-09-10
f0a26de9-60d9-4eac-944c-25cecd6538be,carousel,843,249,177,3099,2024-02-17
fe5766ca-cb72-4b09-a3e9-8ad5382ee18f,static_image,675,270,73,1813,2024-05-24
5c65c843-a2ae-4628-806c-28633e26ffee,video,1564,221,713,9050,2024-06-10
ffd9195f-bf02-48e6-a7cb-78848e6f8b33,video,1633,277,664,3795,2024-01-09
48c64bcb-1397-4516-ade8-52dfddf11d27,video,1238,491,391,5191,2024-02-20
b9690620-f2ba-42b1-91ad-46e16646c8c7,static_image,604,150,141,2994,2024-05-02
4c1ab5e1-b007-49d0-92ff-dca47f51fa85,static_image,310,287,128,2053,2024-11-21
34df34ca-25a5-4c1b-a358-9b9292e8da49,video,1991,380,664,3079,2024-03-19
57a42107-ae05-4c86-80b0-7cde506c70ba,static_image,519,284,119,2584,2024-06-06
726b6857-08d3-408f-9a83-098b97bbd24a,video,1071,691,438,2055,2024-05-20
42788f65-c5d1-434e-8443-79a11b8f9ee6,carousel,905,385,227,3770,2024-06-24
7540e7db-20e5-4453-8406-b104d601e972,carousel,880,410,212,3028,2024-06-01
5910a8d5-c18c-4e7b-916d-54c8f8ca4e40,reels,4675,410,586,13827,2024-05-23
c912de97-9f60-4d0d-8c6e-a1c4a9ac42e2,static_image,419,159,65,2744,2024-02-12
cf9d758c-afc4-4d2c-b513-bc29788c956f,reels,3687,813,1028,15558,2024-12-12
e662ab90-fadc-49df-b39c-8529fd4c67ee,video,1811,301,372,4237,2024-01-08
af9a2a2f-cdb9-411b-8a29-3964c9eaea66,static_image,425,257,94,1909,2024-12-14
e85d9143-95c7-448e-a69a-0d9b2995aa73,reels,3186,366,880,13972,2024-11-13
d99ad227-4e96-4362-b0ef-278cbd490785,video,1662,291,385,5391,2024-04-25
9a857dc9-5ee9-4d00-bee9-cc84126e0e85,static_image,472,156,108,2109,2024-03-07
a159dde0-d7d8-4b3a-ab73-05d755200e4a,reels,3221,457,966,6166,2024-12-23
